    
Name                                     Id                                            Version
Wiznote Lite                             Wiznote.Wiznotelite                           2.1.1
Wiznote                                  Wiznote.Wiznote                               4.13.15
Wireshark                                WiresharkFoundation.Wireshark                 3.4.2.0
Wings3D                                  Wings3D.Wings3D                               2.2.5
Windscribe                               Windscribe.Windscribe                         1.83 Build 18
0 A.D.                                   WildfireGames.0AD                             0.0.23b
The Battle for Wesnoth                   Wesnoth.BattleForWesnoth                      1.14.12
ChMac                                    wandersick.ChMac                              2.0.0.5
AeroZoom                                 wandersick.AeroZoom                           4.0.0.7
vim                                      vim.vim                                       8.2.1923
Trillian                                 Trillian.Trillian                             6.3.0.5
GPU-Z                                    TechPowerUp.GPU-Z                             2.36.0
Kangaroo                                 Taozuhong.Kangaroo                            1.0.5
010Editor                                SweetScape.010Editor                          11.0.0
SuperCollider                            SuperCollider.SuperCollider                   3.11.0
Stellarium                               Stellarium.Stellarium                         0.20.3
mpv.net                                  stax76.mpv.net                                5.4.8.0
OpenVPN Configuration Generator          SparkLabs.openvpn-configuration-generator     1.0.7
SonicPi                                  SonicPi.sonicpi                               3.2.2
IsoBuster                                SmartProjects.IsoBuster                       4.6
Signal                                   Signal.Signal                                 1.38.2
Samsung DeX                              Samsung.DeX                                   1.0.0.65
NSwagStudio                              RicoSuter.NSwagStudio                         13.7.0
Ricochet                                 RicochetIM.Ricochet                           1.1.4
RescueTime                               RescueTime.RescueTime                         2.16.5.1
7+ Taskbar Tweaker                       rammichael.7+TaskbarTweaker                   Latest
Quicken                                  Quicken.Quicken                               latest
Qalculate!                               Qalculate.Qalculate                           3.15.0
i2pd                                     PurpleI2P.i2pd                                2.32.0
ProtonVPN                                ProtonTechnologies.ProtonVPN                  1.16.3
Private Internet Access                  PrivateInternetAccess.PrivateInternetAccess   2.4.0
Primesieve                               Primesieve.Primesieve                         7.5
Plexamp                                  Plex.Plexamp                                  3.3.1
CCleaner                                 Piriform.CCleaner                             5.75.8238
PhonerLite                               Phoner.PhonerLite                             2.86.0
OpenRA                                   OpenRA.OpenRA                                 20200503
NVDA                                     NVAccess.NVDA                                 2020.3
NordVPN                                  NordVPN.NordVPN                               6.32.24.0
Nextcloud Desktop                        Nextcloud.NextcloudDesktop                    3.0.3
Muta                                     Muta.Muta                                     2.1.02
MullvadVPN                               MullvadVPN.MullvadVPN                         2020.6.0
Mu                                       Mu.Mu                                         1.0.3
The Dude Long-term                       Mikrotik.TheDude                              6.45.9
webpicmd                                 Microsoft.webpicmd                            5.1
ConfigMgrToolkit                         Microsoft.ConfigMgrToolkit                    5.00.7958.1151
Meld                                     Meld.Meld                                     3.20.2
7Zip-zstd                                mcmilk.7zip-zstd                              19.00-v1.4.5-R2
MariaDB Server                           MariaDB.Server                                10.5.7
Logitech Gaming Software                 Logitech.LGS                                  9.02.65
Logitech Gaming Hub                      Logitech.LGH                                  latest
listen1_fluent                           listen1.listen1_fluent                        2.17.1
Media File Manager                       LancelotSoftware.MediaFileManager             2020.827.8.0
KeePassXC                                KeePassXCTeam.KeePassXC                       2.6.2
TreeSize Free                            JAMSoftware.TreeSizeFree                      4.4.2
Jackett                                  Jackett.Jackett                               0.16.1922
IZArc                                    IZArc.IZArc                                   4.4
Nmap                                     Insecure.Nmap                                 7.80
Free Hex Editor Neo                      HHDSoftware.FreeHexEditorNeo                  6.44.01.6234
Link Shell Extension                     HermannSchinagl.LinkShellExtension            3.9.33
Hedgewars                                Hedgewars.Hedgewars                           1.0.0
Gramps                                   Gramps.Gramps                                 5.1.2
Grafana Open Source                      GrafanaLabs.GrafanaOSS                        7.1.4
Grafana Enterprise                       GrafanaLabs.GrafanaEnterprise                 7.1.4
GoldenDict                               GoldenDict.GoldenDict                         1.0.1-1
Gpg4win                                  gnupg.Gpg4win                                 3.1.13
GnuPG                                    GnuPG.GnuPG                                   2.2.23
GNU Emacs                                GNU.Emacs                                     27.1
GitHub CLI                               GitHub.cli                                    1.4.0
Graphing Calculator                      GeoGebra.GraphingCalculator                   6.0.600.0
GeoGebraClassic                          GeoGebra.GeoGebraClassic                      6.0.600.0
GeoGebra CAS Calculator                  GeoGebra.GeoGebraCASCalculator                6.0.592.0
FreeCiv                                  FreeCiv.FreeCiv                               2.6.2
Katawa Shoujo                            FourLeafStudios.KatawaShoujo                  1.3.1
FontForge                                FontForge.FontForge                           2020.03.14
f.lux                                    flux.flux                                     4.118
Advanced Port Scanner                    Famatech.AdvancedPortScanner                  2.5.3869
Advanced IP Scanner                      Famatech.AdvancedIPScanner                    2.5.3850
ExpressVPN                               ExpressVPN.ExpressVPN                         7.12.1.4
HideMe                                   eVenture.HideMe                               3.4.1
grid                                     Ethereum.grid                                 1.6.2
Planet Blupi                             Epsitec.PlanetBlupi                           1.14.2
Colobot: Gold Edition                    Epsitec.Colobot                               0.1.12
Empoche                                  Empoche.Empoche                               0.4.3
ebbflow                                  Ebbflow.Ebbflow                               1.1.0
Dopamine                                 Digimezzo.Dopamine                            2.0.4
RemoteDesktopManagerFree                 Devolutions.RemoteDesktopManagerFree          2020.1.20.0
Remote Desktop Manager                   Devolutions.RemoteDesktopManager              2020.1.20.0
Dungeon Crawl Stone Soup                 DCSS.DungeonCrawlStoneSoup                    0.24.0
IPFilterUpdater                          DavidMoore.IPFilterUpdater                    3.0.2.9-beta
darktable                                darktable.darktable                           3.2.1
CubicSDR                                 CubicSDR.CubicSDR                             0.2.5
Cppcheck                                 Cppcheck.Cppcheck                             2.0
Corsair iCUE                             Corsair.iCUE                                  3.35.152
Clementine                               Clementine.Clementine                         1.3.1
ClamWin Free Antivirus                   ClamWin.ClamWin                               0.99.4
Circuit Diagram                          CircuitDiagram.CircuitDiagram                 3.1
MiKTeX                                   ChristianSchenk.MiKTeX                        2.9.7442
xca                                      ChristianHohnstadt.xca                        2.3.0
Marvin                                   ChemAxon.Marvin                               20.21
Jchem .NET api                           ChemAxon.jchemdotnetapi                       20.21.0
ChemCurator                              ChemAxon.ChemCurator                          20.21.0
BPBible                                  BPBible.BPBible                               0.5.3.1
